USN,Gender,Age,12th marks %,rural/ urban area,Section,Why take this course?,Which teaching methods helped your learning?,Were you prepared to take this course based on prior coursework?,How much time did you spend weekly on this course outside of class for C01?,How much time did you spend weekly on this course outside of class for C02?,How much time did you spend weekly on this course outside of class for C03?,How much time did you spend weekly on this course outside of class for C04?,What level have you achieved in the course outcomes for C01?,What level have you achieved in the course outcomes for C02?,What level have you achieved in the course outcomes for C03?,What level have you achieved in the course outcomes for C04?,How satisfied are you with C01?,How satisfied are you with C02?,How satisfied are you with C03?,How satisfied are you with C04?,List strategies for learning the course outcomes for C01,List strategies for learning the course outcomes for C02,List strategies for learning the course outcomes for C03,List strategies for learning the course outcomes for C04,How many marks will you give yourself for C01?,How many marks will you give yourself for C02?,How many marks will you give yourself for C03?,How many marks will you give yourself for C04?,"If your marks are low in C01, who do you blame for your performance?","If your marks are low in C02, who do you blame for your performance?","If your marks are low in C03, who do you blame for your performance?","If your marks are low in C04, who do you blame for your performance?",Explain briefly your rationale for you choice to the previous question,Would more faculty concern improve your learning in C01?,Would more faculty concern improve your learning in C02?,Would more faculty concern improve your learning in C03?,Would more faculty concern improve your learning in C04?,Would more outside help improve your learning in C01?,Would more outside help improve your learning in C02?,Would more outside help improve your learning in C03?,Would more outside help improve your learning in C04?,Your overall feedback,Would more outside help improve your learning in C01?.1,Would more outside help improve your learning in C01?.2,Would more outside help improve your learning in C01?.3,Your overall feedback about the course,Write a paragraph about your course experience.,Were class activities allowed to be submitted after the class timing? [CO1]
1RVU23BSC076,Male,20.0,65.33%,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule;Advisor recommended the course;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios",Yes,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",5,4,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Marks is greater than 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC164,Female,18.0,75,Urban,IDA_C,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Outside-class homework, readings;Projects or portfolios;Teamwork or group activities;Student presentations",No,5-6 hours,5-6 hours,5-6 hours,5-6 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I put in the efforts required and learnt a lots of things ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),,,,,,
1RVU23BSC149,Female,18.0,98%,Urban,IDA_C,Fulfills general curriculum/education requirement;Interest in the subject;Fits into my schedule,"Lectures, including online lectures;Class discussions, including online discussion boards;Projects or portfolios;Teamwork or group activities",Yes,3-4 hours,5-6 hours,5-6 hours,5-6 hours,Solving problems,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Yourself,Yourself,Yourself,Yourself,.,NO,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC111,Male,18.0,60,Urban,IDA_A,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Solving problems,Solving problems,"Making judgments about the value of information, arguments, or methods","Making judgments about the value of information, arguments, or methods",Neutral with my effort,Happy as I enjoyed doing the CO activities,Neutral with my effort,Neutral with my effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, referring to it","Understand others work but redo it, referring to it",3,3,3,3,Yourself,Yourself,Yourself,Yourself,.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good (70 - 90%),,,,,,
1RVU23BSC055,Female,18.0,79.36,Urban,IDA_B,"Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class learning activities, other than discussions;Writing work",Yes,1-2 hours,1-2 hours,1-2 hours,1-2 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I had put the required efforts and practiced a lot. The CO are easy. ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC076,Male,20.0,65.33%,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty);Fits into my schedule;Advisor recommended the course;Friends recommended the course","Lectures, including online lectures;Class discussions, including online discussion boards;In-class clickers or other quick response methods;Projects or portfolios",Yes,3-4 hours,3-4 hours,3-4 hours,3-4 hours,Solving problems,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",5,4,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),Marks is greater than 2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC071,Male,18.0,69,Urban,IDA_B,Reputation or peer recommendation of the instructor (faculty),"Lectures, including online lectures",No,3-4 hours,1-2 hours,5-6 hours,1-2 hours,"Synthesizing and organizing ideas, information, or experiences",Memorizing facts and repeating ideas from the readings and lectures,Memorizing facts and repeating ideas from the readings and lectures,"Applying basic elements of an idea, experience, or theory",Happy as I enjoyed doing the CO activities,Neutral with my effort,Happy as I enjoyed doing the CO activities,Happy as I understood the teacher,"Understand others work but redo it, referring to it",Copy-paste friends work,Copy-paste from online,Copy-paste from online,3,4,3,4,Yourself,NA(marks >2),NA(marks >2),NA(marks >2),recommended ,Yes,Yes,Yes,Yes,NO,NO,NO,NO,Good (70 - 90%),,,,,,
1RVU23BSC060,Female,18.0,97.40%,Urban,IDA_B,Interest in the subject,"In-class learning activities, other than discussions",No,1-2 hours,3-4 hours,3-4 hours,3-4 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Happy as I enjoyed doing the CO activities,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,Circumstances,Circumstances,Circumstances,Circumstances,None ,NO,NO,NO,NO,Yes,Yes,Yes,Yes,Excellent (> 90%),,,,,,
1RVU23BSC109,Male,18.0,90.5,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Class discussions, including online discussion boards;In-class clickers or other quick response methods;In-class learning activities, other than discussions;Teamwork or group activities;Student presentations",Yes,Less than one hour,5-6 hours,5-6 hours,5-6 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I practiced the concepts daily and tried solving new and similar problems ,NO,NO,NO,NO,NO,NO,NO,NO,Excellent (> 90%),,,,,,
1RVU23BSC146,Female,19.0,92%,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities",Yes,7-8 hours,7-8 hours,7-8 hours,7-8 hours,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Thinking creatively or critically,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,4,4,4,4,Circumstances,Circumstances,Circumstances,Circumstances,.,Yes,Yes,Yes,Yes,Yes,NO,NO,Yes,Good (70 - 90%),,,,,,
1RVU23BSC148,Female,18.0,76.50%,Urban,IDA_A,"Fulfills general curriculum/education requirement;Required (Core) for Program, Minor, or Specialization;Interest in the subject;Reputation or peer recommendation of the instructor (faculty)","Lectures, including online lectures;Class discussions, including online discussion boards;In-class learning activities, other than discussions;Teamwork or group activities",No,1-2 hours,3-4 hours,3-4 hours,3-4 hours,Thinking creatively or critically,Solving problems,Solving problems,Solving problems,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Happy as I put in the required effort,Try by myself and get it reviewed by peers/teaching assistants/teachers,Try by myself and get it reviewed by peers/teaching assistants/teachers,"Understand others work but redo it, without referring to it","Understand others work but redo it, without referring to it",5,5,5,5,NA(marks >2),NA(marks >2),NA(marks >2),NA(marks >2),I know I have done well because I have put in all my efforts to learn the subject and did well overall ,NO,NO,NO,NO,NO,NO,Yes,Yes,Excellent (> 90%),,,,,,
